metric,top_avg,non_top_avg,gap
pauli,63.357142857142854,59.66558089033659,3.691561966806262
Social Empathy & Awareness,5.234177215189874,2.9277745155607753,2.3064026996290985
Commercial Savvy & Impact,5.241830065359477,3.2197149643705463,2.022115100988931
Value Creation for Users,5.197452229299363,3.1755634638196915,2.0218887654796713
Synergy & Team Orientation,5.10625,3.149761336515513,1.9564886634844871
Curiosity & Experimentation,4.5394736842105265,2.965962441314554,1.5735112428959726
Quality Delivery Discipline,4.6918238993710695,3.1621140142517814,1.529709885119288
Growth Drive & Resilience,4.550335570469799,3.132748538011696,1.417587032458103
"Lead, Inspire & Empower",4.5816993464052285,3.181925575900768,1.3997737705044604
Insight & Decision Sharpness,4.535483870967742,3.14,1.3954838709677415
Forward Thinking & Clarity,4.548387096774194,3.169600938967136,1.378786157807058
gtq,28.22142857142857,27.39596879063719,0.8254597807913804
year,2025.0,2025.0,0.0
tiki,5.434523809523809,5.485342019543974,-0.0508182100201644
iq,109.09923664122137,109.55165144061841,-0.4524147993970473
faxtor,58.023809523809526,60.48914223669924,-2.465332712889712
